TicketID,TicketDate,Source,City,PlanType,CustomerType,MessageText,IssueCategory,Priority
TCK-001,2026-02-03,Email,Ottawa,Plus,Small Business,"The NorthStar mobile app crashes when I try to view my plan. I updated it today, but it still fails.",Mobile_App,Medium
TCK-002,2026-02-05,Call Center,Brampton,Family,Student,"I asked to cancel last week, but I still received a renewal message. Ticket created by Alex at 9:30 AM.",Cancellation,Low
TCK-003,2026-02-07,Mobile App,Toronto,Business,Remote Worker,My monthly price increased without clear notice. I need an explanation for the extra $18 fee.,Billing,Medium
TCK-004,2026-02-09,Web Form,Ottawa,Student,Residential,"The NorthStar mobile app crashes when I try to view my plan. I updated it today, but it still fails.",Mobile_App,Medium
TCK-005,2026-02-11,Chat,Kingston,Basic,Small Business,I need technical support because my business router shows a red light and cannot connect.,Technical_Support,High
TCK-006,2026-02-13,Email,Ajax,Plus,Student,"The installation appointment on June 12 was completed, but the service still does not work.",Technical_Support,High
TCK-007,2026-02-15,Call Center,Ajax,Family,Remote Worker,"The app logs me out every few minutes, and the verification code arrives late.",Mobile_App,Medium
TCK-008,2026-02-17,Mobile App,Ajax,Business,Residential,"The verification code goes to my old phone number, so I cannot update my plan.",Account_Access,Medium
TCK-009,2026-02-19,Web Form,Brampton,Student,Small Business,"The support agent reset my modem, but the phone line still has no signal.",Technical_Support,High
TCK-010,2026-02-21,Chat,Ottawa,Basic,Student,I cannot log in to my NorthStar account because the password reset email never arrives.,Account_Access,Medium
TCK-011,2026-02-23,Email,Pickering,Plus,Remote Worker,"My contract is ending, and I do not want automatic renewal for the Business plan.",Cancellation,Low
TCK-012,2026-02-25,Call Center,Pickering,Family,Residential,"There was an outage near my office on June 8, and I could not upload customer files.",Internet_Service,High
TCK-013,2026-02-27,Mobile App,Oshawa,Business,Small Business,"My Wi-Fi is very slow, especially during video calls. NorthStar speed test shows only 12 Mbps.",Internet_Service,High
TCK-014,2026-03-01,Web Form,Toronto,Student,Student,"The verification code goes to my old phone number, so I cannot update my plan.",Account_Access,Medium
TCK-015,2026-03-03,Chat,Ajax,Basic,Remote Worker,I want to cancel my NorthStar plan next month because I am moving from Ajax to Calgary.,Cancellation,Low
TCK-016,2026-03-05,Email,Ajax,Plus,Residential,The internet connection in Ajax has been dropping every evening since Monday. I work from home and need stable service.,Internet_Service,High
TCK-017,2026-03-07,Call Center,Ajax,Family,Small Business,"The installation appointment on June 12 was completed, but the service still does not work.",Technical_Support,High
TCK-018,2026-03-09,Mobile App,Pickering,Business,Student,My account is locked after two attempts. Please help me regain access before Friday.,Account_Access,Medium
TCK-019,2026-03-11,Web Form,Oshawa,Student,Remote Worker,"My Wi-Fi is very slow, especially during video calls. NorthStar speed test shows only 12 Mbps.",Internet_Service,High
TCK-020,2026-03-13,Chat,Brampton,Basic,Residential,"The NORTHSTAR mobile app crashes when I try to view my plan. I updated it today, but it still fails. Ticket created by Alex at 9:30 AM.",Mobile_App,Medium
TCK-021,2026-03-15,Email,Kingston,Plus,Small Business,"My contract is ending, and I do not want automatic renewal for the Business plan.",Cancellation,Low
TCK-022,2026-03-17,Call Center,Oshawa,Family,Student,The discount promised by NorthStar on June 1 is missing from my bill.,Billing,Medium
TCK-023,2026-03-19,Mobile App,Oshawa,Business,Remote Worker,"I changed my email address, but the portal still sends login messages to the old address.",Account_Access,Medium
TCK-024,2026-03-21,Web Form,Kingston,Student,Residential,I cannot make a payment in the app. The blue checkout button does nothing after I tap it.,Mobile_App,Medium
